id,产品名称,规格,单位,品牌,品牌简写,品牌代码,分类,分类代码,分类简称,分类slug,产品编码,图片,描述,价格
9e8231c0a258,安佳碎条状马苏里拉干酪,1*12kg,箱,安佳,安佳,004,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009004299,,规格: 1*12kg / 单位: 箱,
dcff21987d1d,安佳芝易马苏里拉干酪碎（袋）,1*12*1kg,袋,安佳,安佳,004,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009004300,,规格: 1*12*1kg / 单位: 袋,
17fad40821c7,安佳芝易马苏里拉干酪碎,1*12*1kg,箱,安佳,安佳,004,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009004301,,规格: 1*12*1kg / 单位: 箱,
50c1cc1a198b,安佳再制切达干酪（橙色）,10*1.04kg,箱,安佳,安佳,004,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009004302,,规格: 10*1.04kg / 单位: 箱,
50c1cc1a198b,安佳再制切达干酪（橙色）,10*1.04kg,袋,安佳,安佳,004,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009004303,,规格: 10*1.04kg / 单位: 袋,
52472f079757,安佳再制切达干酪（84片）,1*10*1.04kg,袋,安佳,安佳,004,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009004304,,规格: 1*10*1.04kg / 单位: 袋,
ccff560c0d68,安佳再制切达干酪（84片）（整箱）,10*1.04kg,箱,安佳,安佳,004,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009004305,,规格: 10*1.04kg / 单位: 箱,
493a0157a5c4,安佳超高温灭菌搅打稀奶油（淡奶）,1*12*1L,箱,安佳,安佳,004,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002004185,,规格: 1*12*1L / 单位: 箱,
5ba0462740f1,安佳多效稀奶油,1*12*1L,箱,安佳,安佳,004,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002004186,,规格: 1*12*1L / 单位: 箱,
018a351987d0,安佳乳酸黄油,1*25,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004367,,规格: 1*25 / 单位: 箱,
4a4e535eaabc,安佳片状乳酸黄油,1*20,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004368,,规格: 1*20 / 单位: 箱,
c94592f34b65,安佳黄油薄片20*1kg,20*1kg,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004369,,规格: 20*1kg / 单位: 箱,
bb26cc82f3e2,安佳含盐黄油40*227g（方形）,40*227g,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004370,,规格: 40*227g / 单位: 箱,
c82e648349da,安佳黄油（无盐）4*5kg,1*4*5kg,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004371,,规格: 1*4*5kg / 单位: 箱,
64ea6f3ae847,安佳黄油25kg,1*25kg,箱,安佳,安佳,004,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010004372,,规格: 1*25kg / 单位: 箱,
0a4d02a0138f,安佳芝易奶油干酪,1*20kg,箱,安佳,安佳,004,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002004187,,规格: 1*20kg / 单位: 箱,
abf660055ded,IW冷冻蓝莓果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102281,,规格: 1*6*1kg / 单位: 盒,
898f3ef6b566,IW冷冻草莓果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102282,,规格: 1*6*1kg / 单位: 盒,
7262c3b9d2ac,IW冷冻覆盆子果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102283,,规格: 1*6*1kg / 单位: 盒,
b032c891f582,IW冷冻芒果果泥（英士顿）,1*6*1kg,盒,英士顿,英士顿,102,果馅/果干/果酱,006,果馅/果酱,fruit-filling-puree-jam,005102284,,规格: 1*6*1kg / 单位: 盒,
edf949abb81b,巴伐利亚克林姆牛奶味（英士顿）,6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102028,,规格: 6*1kg / 单位: 箱,
648a41041d8d,巴伐利亚克林姆（切达乳酪味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102029,,规格: 1*6*1kg / 单位: 箱,
b350ee5deb60,巴伐利亚克林姆（酸奶味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102030,,规格: 1*6*1kg / 单位: 箱,
588e84a4d1f4,巴伐利亚克林姆（椰子味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102031,,规格: 1*6*1kg / 单位: 箱,
f758ea2fdd81,巴伐利亚克林姆（香芋）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102032,,规格: 1*6*1kg / 单位: 箱,
aa84f3dc3ab4,巴伐利亚克林姆（经典奶茶味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102033,,规格: 1*6*1kg / 单位: 箱,
3bc183e0c853,巴伐利亚克林姆（生椰拿铁）英士顿,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102034,,规格: 1*6*1kg / 单位: 箱,
ed6f9be990ff,巴伐利亚克林姆（开心果味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102035,,规格: 1*6*1kg / 单位: 箱,
a2bc73f597c8,巴伐利亚克林姆（榴莲味）（英士顿）,1*6*1kg,箱,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102036,,规格: 1*6*1kg / 单位: 箱,
97d9ef5ce0a3,英士顿巧克力镜面淋酱（复合调味料）,1*6*2.3kg,桶,英士顿,英士顿,102,冷冻点心/速冻半成品,001,冷冻半成品,frozen-pastries-semi-finished,001102233,,规格: 1*6*2.3kg / 单位: 桶,
8e8e2bbc1504,英士顿现烤用镜面果胶（果酱味）,1*6*2.5kg,桶,英士顿,英士顿,102,冷冻点心/速冻半成品,001,冷冻半成品,frozen-pastries-semi-finished,001102037,,规格: 1*6*2.5kg / 单位: 桶,
3d33000bef84,榛子巧克力薄脆酱（英士顿）,1*6*2.3KG,桶,英士顿,英士顿,102,巧克力/可可,004,巧克力,chocolate-cocoa,004102234,,规格: 1*6*2.3KG / 单位: 桶,
473871dfdbbe,乳酪酱（英士顿）,1*2*5kg,桶,英士顿,英士顿,102,冷冻点心/速冻半成品,001,冷冻半成品,frozen-pastries-semi-finished,001102038,,规格: 1*2*5kg / 单位: 桶,
7e8d17fc809c,奶油芝士（干酪制品）1KG（英士顿）,12*1KG,盒,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102188,,规格: 12*1KG / 单位: 盒,
362b2a3bc35e,奶油芝士（干酪制品）5kg（英士顿）,2*5kg,袋,英士顿,英士顿,102,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002102189,,规格: 2*5kg / 单位: 袋,
6cabfddcaa75,蓝米勒（蓝米吉）稀奶油(南侨),1*12,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110190,,规格: 1*12 / 单位: 箱,
253f29e1dc14,侨艺800淡奶油(动植物脂混合奶油)（南侨）,1*12*1L,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110191,,规格: 1*12*1L / 单位: 箱,
9e24a4118735,侨艺淡奶油-蛋糕专用（南侨）,1*12*1L,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110192,,规格: 1*12*1L / 单位: 箱,
af66559f60a3,南侨酥油/16kg纸箱CNO15,1*16kg,箱,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110373,,规格: 1*16kg / 单位: 箱,
43b58ae0c61b,南侨酥油/16kg铁桶CNO15,1*16kg,桶,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110374,,规格: 1*16kg / 单位: 桶,
c75b2b39950e,南侨澳仕奶油/10kg,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110193,,规格: 1*10kg / 单位: 箱,
0009f5f60be3,南侨澳仕丹麦奶油,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110194,,规格: 1*10kg / 单位: 箱,
11a6102522c6,南侨欧仕发酵奶油/10kg,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110195,,规格: 1*10kg / 单位: 箱,
4da9d43f3351,南侨欧仕发酵丹麦奶油,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110196,,规格: 1*10kg / 单位: 箱,
505e4901d1c4,南侨片状甜奶油（炼乳味）/10kg,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110197,,规格: 1*10kg / 单位: 箱,
be82be348033,南侨液态酥油/20kg,1*20kg,桶,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110375,,规格: 1*20kg / 单位: 桶,
40abca21bdc3,南侨液态酥油4*5,1*4*5,桶,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110376,,规格: 1*4*5 / 单位: 桶,
13213f55ac58,南侨维佳液态油/20kg,1*20kg,桶,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110039,,规格: 1*20kg / 单位: 桶,
65c1335bbf9b,南侨丹麦面包专用油/10kg,1*10kg,箱,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,099110040,,规格: 1*10kg / 单位: 箱,
0c99eb8767a6,王牌高级玛琪琳/15kg铁桶CNO15(南侨）,1*15kg,桶,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110377,,规格: 1*15kg / 单位: 桶,
17b74247f8d6,王牌酥片玛琪琳/10kg纸箱CNO15（南侨）,1*10kg,箱,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110378,,规格: 1*10kg / 单位: 箱,
c358a7304303,南侨维佳夹心奶油/10kg,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110198,,规格: 1*10kg / 单位: 箱,
f1d62b8d8427,南侨维佳烤焙奶油/10kg,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110199,,规格: 1*10kg / 单位: 箱,
1eed04570bb7,南侨鲜牛奶烤焙油,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110041,,规格: 1*10kg / 单位: 箱,
57e90d724c9e,玉峰牌高级雪白乳化油/15kg铁桶CNO15(南侨),1*15kg,桶,南侨,南侨,110,肉制品/香肠/培根,010,肉制品,meat-sausage-bacon,010110042,,规格: 1*15kg / 单位: 桶,
e201e4bb06e8,焙可诗即用馅料榛果巧克力（南侨）,1*6*750g,箱,南侨,南侨,110,巧克力/可可,004,巧克力,chocolate-cocoa,004110235,,规格: 1*6*750g / 单位: 箱,
cb28f98985f1,焙可诗即用馅料香缇蛋奶（南侨）,1*6*750g,箱,南侨,南侨,110,装饰/插件/翻糖,011,装饰/翻糖,decorations-toppers-fondant,011110043,,规格: 1*6*750g / 单位: 箱,
2f18199b3a8b,焙可芯香草卡仕达（南侨）,1*6*1kg,箱,南侨,南侨,110,冷冻点心/速冻半成品,001,冷冻半成品,frozen-pastries-semi-finished,001110044,,规格: 1*6*1kg / 单位: 箱,
209035a976c4,焙可芯海盐巧克力（南侨）,1*6*1kg,箱,南侨,南侨,110,巧克力/可可,004,巧克力,chocolate-cocoa,004110236,,规格: 1*6*1kg / 单位: 箱,
6deaac46cff7,焙可芯香浓芝士（南侨）,1*6*1kg,箱,南侨,南侨,110,罐头/蜜饯,009,罐头/蜜饯,canned-preserves,009110306,,规格: 1*6*1kg / 单位: 箱,
a9a4fb4c0796,南侨欧仕夹心奶油（蛋黄）,1*10kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110200,,规格: 1*10kg / 单位: 箱,
4dbf00b19f9f,吉悦淡奶油（南侨）,1*12.6kg,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110201,,规格: 1*12.6kg / 单位: 箱,
d1901b40ace0,维特利稀奶油（南侨）,12*1L,箱,南侨,南侨,110,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002110202,,规格: 12*1L / 单位: 箱,
c2a4c5a2a17a,华瑞优质低筋粉,1*25kg,袋,华瑞,华瑞,127,奶油/淡稀奶油,003,奶油,whipping-cream,003127045,,规格: 1*25kg / 单位: 袋,
fdb029e26882,华瑞国色面包用小麦粉（纸袋）,1*25kg,袋,华瑞,华瑞,127,奶油/淡稀奶油,003,奶油,whipping-cream,003127360,,规格: 1*25kg / 单位: 袋,
3f03ba826f8b,华瑞月饼专用粉,1*25kg,袋,华瑞,华瑞,127,奶油/淡稀奶油,003,奶油,whipping-cream,099127046,,规格: 1*25kg / 单位: 袋,
8c3347bd11d4,金像“B”（PRC）（22.7kg布）（南顺）,1*22.7kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,099107047,,规格: 1*22.7kg / 单位: 袋,
0606b1da1488,金像牌B面包用小麦粉（PP袋）,1*25kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107361,,规格: 1*25kg / 单位: 袋,
62ef21cddbc0,金像300面包粉（布）,1*25kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107048,,规格: 1*25kg / 单位: 袋,
d9503a2af191,金像精选面包粉,1*22.7kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107049,,规格: 1*22.7kg / 单位: 袋,
ffb26bea73c6,金像牌25kg用小麦粉（PP袋）,1*25kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107362,,规格: 1*25kg / 单位: 袋,
9d821e67682e,金像牌25kg用小麦粉（纸袋）,1*25kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107363,,规格: 1*25kg / 单位: 袋,
36cb0d5eff9c,美玫牌600（纸袋）（南顺）,1*25kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,099107050,,规格: 1*25kg / 单位: 袋,
5ea77275c7d7,美玫牌糕点用小麦粉,1*25kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107364,,规格: 1*25kg / 单位: 袋,
3889ac93dabc,美玫牌糕点用小麦粉,1*22.7kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107365,,规格: 1*22.7kg / 单位: 袋,
f79c21644a49,美玫牌300（22.7kg布袋）（南顺）,1*22.7kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,099107051,,规格: 1*22.7kg / 单位: 袋,
1d93dda0b107,凯旋门300糕点粉,1*25kg,袋,金像,金像,107,奶油/淡稀奶油,003,奶油,whipping-cream,003107052,,规格: 1*25kg / 单位: 袋,
1e3574a16d77,凯贝糖粉,1*4*5kg,袋,凯贝,凯贝,011,奶油/淡稀奶油,003,奶油,whipping-cream,003011053,,规格: 1*4*5kg / 单位: 袋,
5748c94d864b,凯贝珠葱,1*24桶*110g,桶,凯贝,凯贝,011,糖类/甜味剂,008,糖/甜味,sugars-sweeteners,099011054,,规格: 1*24桶*110g / 单位: 桶,
05b069fac7be,凯贝防潮可可粉,20袋*1kg,袋,凯贝,凯贝,011,奶油/淡稀奶油,003,奶油,whipping-cream,003011237,,规格: 20袋*1kg / 单位: 袋,
928e5a9379a8,凯贝防潮糖粉,20袋*1kg,袋,凯贝,凯贝,011,奶油/淡稀奶油,003,奶油,whipping-cream,003011055,,规格: 20袋*1kg / 单位: 袋,
602e20243bb0,凯贝抹茶粉,1*24*500g,桶,凯贝,凯贝,011,奶油/淡稀奶油,003,奶油,whipping-cream,003011056,,规格: 1*24*500g / 单位: 桶,
800a3155e938,凯贝植物炭黑,1*24*100g,桶,凯贝,凯贝,011,糖类/甜味剂,008,糖/甜味,sugars-sweeteners,099011057,,规格: 1*24*100g / 单位: 桶,
342334e4e050,凯贝深黑可可粉,1*20*1kg,袋,凯贝,凯贝,011,奶油/淡稀奶油,003,奶油,whipping-cream,003011238,,规格: 1*20*1kg / 单位: 袋,
8a6349996b84,韩国白砂糖,1*30kg,袋,凯贝,凯贝,011,辅料/添加剂,012,辅料/添加,additives,012011058,,规格: 1*30kg / 单位: 袋,
cf6e88a100e2,蜜朋TST精制白砂糖,1*30kg,袋,凯贝,凯贝,011,辅料/添加剂,012,辅料/添加,additives,012011059,,规格: 1*30kg / 单位: 袋,
2c08392ddff0,思醇 彩虹慕斯蛋糕 8寸,1*8盒*1.3kg,盒,思醇,思醇,100,牛奶/乳饮,007,乳饮,milk-dairy-drinks,007100311,,规格: 1*8盒*1.3kg / 单位: 盒,
4843dc5a084e,思醇 榴莲千层（8寸）,1*10盒*1.05kg,盒,思醇,思醇,100,牛奶/乳饮,007,乳饮,milk-dairy-drinks,007100060,,规格: 1*10盒*1.05kg / 单位: 盒,
36e37819908a,思醇黑森林小方,1*6盒/8个*840g,盒,思醇,思醇,100,牛奶/乳饮,007,乳饮,milk-dairy-drinks,099100061,,规格: 1*6盒/8个*840g / 单位: 盒,
48ee9207915c,约翰丹尼咸奶油风味慕斯蛋糕,1*9盒*1.15kg,盒,约翰丹尼,约翰丹尼,005,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002005203,,规格: 1*9盒*1.15kg / 单位: 盒,
7d2627ef3641,约翰丹尼玫瑰荔枝慕斯蛋糕,1*9盒*1.1kg,盒,约翰丹尼,约翰丹尼,005,牛奶/乳饮,007,乳饮,milk-dairy-drinks,007005312,,规格: 1*9盒*1.1kg / 单位: 盒,
7967df5b4d55,约翰丹尼白桃乌龙慕斯蛋糕（8寸10切）,1*9盒*880g,盒,约翰丹尼,约翰丹尼,005,牛奶/乳饮,007,乳饮,milk-dairy-drinks,007005313,,规格: 1*9盒*880g / 单位: 盒,
5d1f95475df1,约翰丹尼皇家丝滑巧克力蛋糕,1*9盒*1.05kg,盒,约翰丹尼,约翰丹尼,005,巧克力/可可,004,巧克力,chocolate-cocoa,004005239,,规格: 1*9盒*1.05kg / 单位: 盒,
7d9c07dc4274,约翰丹尼麦香牛油果慕斯蛋糕,1*9盒*1.2kg,盒,约翰丹尼,约翰丹尼,005,牛奶/乳饮,007,乳饮,milk-dairy-drinks,007005314,,规格: 1*9盒*1.2kg / 单位: 盒,
5e4d793240fd,约翰丹尼提拉米苏蛋糕,1*9盒*1.25kg,盒,约翰丹尼,约翰丹尼,005,牛奶/乳饮,007,乳饮,milk-dairy-drinks,007005315,,规格: 1*9盒*1.25kg / 单位: 盒,
8195dedc966d,约翰丹尼咸奶油红丝绒蛋糕（整只）22145,1*9盒*1.2kg,盒,约翰丹尼,约翰丹尼,005,调味酱/沙拉酱,002,调味/沙拉,sauces-salad-dressing,002005204,,规格: 1*9盒*1.2kg / 单位: 盒,
e14466f85e8b,约翰丹尼皇家丝滑巧克力（方盒）,1*9盒*1200g,盒,约翰丹尼,约翰丹尼,005,巧克力/可可,004,巧克力,chocolate-cocoa,004005240,,规格: 1*9盒*1200g / 单位: 盒,
d952fff97761,约翰丹尼抹茶凝乳蛋糕（8寸10切）,1*9*1000g,盒,约翰丹尼,约翰丹尼,005,牛奶/乳饮,007,乳饮,milk-dairy-drinks,007005316,,规格: 1*9*1000g / 单位: 盒,
